Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"419028";"25906728000108";"COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ";;"Cooperativa odontológica";"RUA ALCIDES FARIA";"240";;"VARGINHA";"Itajubá";"MG";"37501058";"35";"36220258";"36220258";"uniodonto@uniodontoitajuba.com.br";"ALEXANDRE JULIO DIELLE";"DIRETOR PRESIDENTE";5;"2013-09-11"
"359459";"02725037000102";"COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE";"COOPERDONTO";"Cooperativa odontológica";"AVENIDA BARÃO DE MARUIM";"993";;"CENTRO";"Aracaju";"SE";"49015040";"79";"32146343";"32145556";"contato@cooperdonto-se.com.br";"JOÃO TELES DE MELO FILHO";"PRESIDENTE";3;"1998-12-30"
"404241";"72350382000194";"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA";"COOPERSINOS LTDA";"Autogestão";"AV. UNISINOS";"950";"CENTRO COMUNITÁ";"CRISTO REI";"São Leopoldo";"RS";"93022000";"51";"35908509";"35908590";"clovisk@unisinos.br";"CLÓVIS ANTÔNIO KRONBAUER";"PRESIDENTE";6;"1999-05-19"
"406805";"03268622000193";"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.";"COOPUSAÚDE";"Medicina de Grupo";"PEDRO ALVARES CABRAL";"900";;"CENTRO";"Erechim";"RS";"99700252";"54";"35202900";"35226869";"administracao@coopusaude.coop.br";"DILVA MARIA GALINA LOCH";"VICE-PRESIDENTE";5;"1999-08-02"
"400572";"02947180000149";"COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU";"EVIDENTE";"Cooperativa odontológica";"RUA DR CARDOSO DE ALMEIDA";"579";;"CENTRO";"Botucatu";"SP";"18600005";"14";"38824142";"38824142";"evidente@evidente.com.br";"JOÃO ANTONIO GODOY";"PRESIDENTE";5;"1999-02-18"
"342335";"01501597000110";"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL.";"UNIODONTO GARANHUNS";"Cooperativa odontológica";"R DR JOSE MARIANO";"193";;"SAO JOSE";"Garanhuns";"PE";"55293335";"87";"37621760";"37621760";"uniodonto@uniodontogaranhuns.coop.br";"DANIEL VALENCA ARRUDA VIEIRA";"PRESIDENTE";5;"1998-12-18"
"365785";"02254846000183";"COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ";"UNIODONTO AMAPÁ";"Cooperativa odontológica";"RUA MARCELO CÂNDIA";"925";;"SANTA RITA";"Macapá";"AP";"68901341";"96";"91515691";;"uniodontoap@uniodontoap.com.br";"CLAUDIO VALENTE CALANDRINI DE AZEVEDO";"DIRETOR PRESIDENTE";6;"1999-01-04"
"409791";"03494031000134";"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS";"UNIODONTO POÇOS DE CALDAS";"Cooperativa odontológica";"RUA PARAIBA ";"212";;"CENTRO ";"Poços de Caldas";"MG";"37701726";"35";"37167222";"37167222";"ouvidoria@uniodontopocos.com.br";"FERNANDO DE PAIVA POSSO";"PRESIDENTE";5;"1999-11-11"
"402010";"00491998000174";"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO";"UNIODONTO ITABUNA";"Cooperativa odontológica";"RUA MARIÁ FERREIRA";"245";"1º ANDAR";"CENTRO";"Itabuna";"BA";"45600120";"07";"336134760";"36134760";"uniodontoitb@gmail.com";"MARIO AUGUSTO DIAS BRUM";"PRESIDENTE";5;"1999-03-12"
"353892";"19052653000142";"COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA.";"COOPERCISO";"Odontologia de Grupo";"RUA JAIME MARTINS RIÊRA";"31";;"BOA VISTA";"Itajubá";"MG";"37505042";"35";"36234600";"36234600";"cooperciso@cooperciso.com.br";"LUCAS PEREIRA GONÇALVES";"DIRETOR ADMINISTRATIVO";5;"1999-01-25"
"418757";"73505463000189";"CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA ";"CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA ";"Administradora de Benefícios";"RUA VITÓRIA";"2296";;"NEVA";"Cascavel";"PR";"85802229";"45";"32240204";;"corplife@corplife.com.br";"ARISTIDES ALVES DOS REIS";"ADMINISTRADOR";6;"2013-01-11"
"418960";"17670901000193";"CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA";;"Administradora de Benefícios";"ALAMEDA RIO NEGRO";"500";"9º ANDAR / SALA 901 A 916 / TORRE 2";"ALPHAVILLE CENTRO INDUSTRIAL E";"Barueri";"SP";"06454000";"11";"43494200";;"valquiria.brovini@corpesaude.com.br";"DIRCEU CANAL";"SóCIO ADMINISTRADOR";4;"2013-08-01"
"368181";"19009638000111";"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA";"CROE-CENTRO DE REABILITAÇAO ORAL ESPECIALIZADO LTDA";"Odontologia de Grupo";"OSCAR VIDAL ";"252";"Sala 201";"CENTRO";"Juiz de Fora";"MG";"36016290";"32";"33116699";;"ceaccroe@croe.com.br";"CLAUDIA CABRINI PINTO DE LUCCA";"SOCIO QUOTISTA";6;"1999-01-05"
"397245";"69099307000198";"CROWN ODONTOLOGIA DE GRUPO LTDA";"CROWN ODONTOLOGIA DE GRUPO LTDA";"Odontologia de Grupo";"RUA PEQUETITA";"145";"CONJ. 101";"JARDIM PROF BENOÁ";"São Paulo";"SP";"04552060";"11";"28132000";"28132001";"crown@crownodonto.com.br";"WALTER CARMO CORIOLANO JUNIOR";"SOCIO ADMINISTRADOR";4;"1998-12-24"
"421952";"33803129000197";"CRZ PLANO ODONTOLÓGICO LTDA";"CRUZ DENTAL";"Odontologia de Grupo";"AVENIDA RODOVALHO";"722";"SALA 13";"VILA MOEMA";"Tubarão";"SC";"88705091";"48";"31910205";;"crzdental@gmail.com";"DANIELE NIEHUES CRUZ";"SÓCIA-ADMINISTRADORA";5;"2019-12-03"
"422045";"34824393000170";"CTESK ADMINISTRADORA DE BENEFIÍCIOS LTDA";"CTESK ADMINISTRADORA DE BENEFIÍCIOS ";"Administradora de Benefícios";"Q SCN QUADRA 02, BLOCO D, ENTRADA B";"SN";"SALAS 201 E 203";"ASA NORTE";"Brasília";"DF";"70712904";"61";"32573926";;"siloe@ctesk.com.br";"SILOÉ JOÃO DE ALMEIDA JUNIOR";"Administrador";;"2019-12-18"
"419737";"11973274000183";"D1 ADMINISTRADORA DE BENEFÍCIOS PRIVADOS DE ASSISTÊNCIA A SAÚDE  COLETIVOS LTDA";;"Administradora de Benefícios";"RUA DOS CEDROS";"501";"SALA 03";"JARDIM SãO PAULO";"Americana";"SP";"13468020";"19";"34622553";;"celso@solucaodinamica.com.br";"CELSO RONALDO SOARES";"SóCIO";6;"2015-04-06"
"416118";"00253137000158";"DANA INDUSTRIAS LTDA.";;"Autogestão";"AVENIDA FERNANDO STECCA";"780";"PRÉDIO 26 - ADMINISTRAÇÃO";"IPORANGA";"Sorocaba";"SP";"18087149";;;;"juliana.miranda@dana.com";"JULIANA DOS REIS MIRANDA";"COORDENADORA DE RH";;"2007-06-14"
"421081";"27832058000158";"DELFHI PLANOS ODONTOLÓGICOS LTDA";"DELFHI ODONTO";"Odontologia de Grupo";"AV. PRUDENTE DE MORAIS";"624";;"TIROL";"Natal";"RN";"59020510";"84";"999862109";;"delfino@delfhicorretora.com.br";"FRANCISCO DELFINO DA SILVA";"SÓCIO ADMINISTRADOR";5;"2017-10-02"
"420239";"24619902000179";"DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA";"DENTAL CARE";"Odontologia de Grupo";"RUA DO IMPERADOR";"359";;"CENTRO";"Maceió";"AL";"57020670";"82";"30220163";"30220163";"financeiro@planodentalcare.com.br";"LEONINO VIEIRA DA SILVA FILHO";"SóCIO ADMINISTRADOR";5;"2016-10-25"
"386219";"66493529000100";"DENTAL CARE CLINICA ODONTOLOGICA LTDA";"ODONTOLOGICA";"Odontologia de Grupo";"RUA MATO GROSSO";"1001";;"CENTRO";"Avaré";"SP";"18700150";"14";"37322286";"37322286";"odontologica_avare@terra.com.br";"HILTON SERGIO ISMAEL LUTTI";"SOCIO";5;"1999-01-20"
"339458";"35436658000125";"DENTAL CENTER LTDA";"DENTAL CENTER LTDA";"Odontologia de Grupo";"RUA DES. JOSE PEREGRINO";"216";;"CENTRO";"João Pessoa";"PB";"58013500";"83";"30414646";;"financeiro@dentalcenterpb.com.br";"MARCONI MARTINS DA SILVA";"SOCIO GERENTE";5;"1999-01-15"
"300730";"01402285000150";"DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.";"DENTAL GOLD";"Odontologia de Grupo";"AVENIDA RUY CARNEIRO";"895";;"JARDIM MIRAMAR";"João Pessoa";"PB";"58032101";"83";"21078900";"21078914";"gerencia@dentalgold.com.br";"JOSUEL GOMES DA SILVA";"SOCIO-GERENTE";5;"1998-12-22"
"413747";"04212174000179";"DENTAL MASTER LTDA - EPP";"DENTAL MASTER";"Odontologia de Grupo";"AVENIDA CARAVELAS";"03";"SALA 32 - ED. GALERIA DIVAMAR";"PRAIA DO FRANCES";"Marechal Deodoro";"AL";"57160000";"82";"21239393";;"financeiro@master.dental";"GEORGE DE ALMEIDA SALDANHA";"REPRESENTANTE";5;"2001-05-25"
"314366";"00571628000147";"DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.";"DENTAL PLUS CONVÊNIO ODONTOLÓGICO";"Odontologia de Grupo";"RUA DOUTOR CESÁRIO MOTA";"135";;"CENTRO";"Santo André";"SP";"09010100";"11";"49792200";;"administrativo@dentalplus-sorria.com.br";"GABRIELA GONSALES FERNANDES BARCELLOS";"SÓCIA";6;"1998-12-23"
"304484";"78738101000151";"DENTAL UNI - COOPERATIVA ODONTOLÓGICA";"DENTAL UNI";"Cooperativa odontológica";"RUA IRMÃ FLAVIA BORLET";"197";;"HAUER";"Curitiba";"PR";"81630170";"41";"30203950";;"diretoria@dentaluni.com.br";"LUIZ HUMBERTO DE SOUZA DANIEL";"PRESIDENTE";4;"1998-12-22"
"423050";"43192903000124";"DENTAL WHITE PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA";"DENTAL WHITE";"Odontologia de Grupo";"RUA DEPUTADO JOSÉ LAGES";"275";;"PONTA VERDE";"Maceió";"AL";"57035330";"82";"30214141";;"contato@planodentalwhite.com.br";"CRISTIANO MORAES DOS SANTOS";"DIR ADM FIN";;"2021-11-22"
"333620";"00073193000100";"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA";"ORALMED ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"AV. RIO DE JANEIRO";"1201";"TERREO";"CENTRO";"Londrina";"PR";"86010150";"43";"33247000";"33247000";"oralmed@onda.com.br";"ROBERTO PRESCINOTTI";"SOCIO ADMINISTRADOR";6;"1999-01-25"
"401463";"01364933000120";"DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA";"DENTALMASTER";"Odontologia de Grupo";"RUA CARLOS VASCONCELOS ";"1482";;"ALDEOTA";"Fortaleza";"CE";"60115171";"85";"32655555";"32655555";"dentalmaster@planodentalmaster.com.br";"FRANCISCO FERNANDO ROCHA NOVAIS";"SÓCIO";6;"1999-03-04"
"422975";"39527909000138";"DENTALMASTER LTDA";"DENTALMASTER";"Odontologia de Grupo";"AV. DOM PEDRO II";"421.0";"SALA A ";"CENTRO ";"São Lourenço";"MG";"37465000";"35";"988970186";;"administrativo@dentalmastermg.com.br";"DANIEL PEREIRA PAIVA ";"Sócio administrador ";;"2021-10-04"
"322890";"02156150000114";"DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.";"DENTALPAR";"Odontologia de Grupo";"AV. SANTO AMARO";"3330";"CONJUNTO 13";"BROOKLIN";"São Paulo";"SP";"04556300";"11";"50944002";"33052151";"armando@dentalpar.com.br";"ARMANDO RODRIGUES FILHO";"DIRETOR PRESIDENTE";4;"1998-12-30"
"416908";"05616674000139";"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA";"DENTALPLAN VALE DO SÃO FRANCISCO";"Odontologia de Grupo";"RUA CASTRO ALVES";"352";;"CENTRO";"Petrolina";"PE";"56304340";;;;"gerencia@dentalplanvsf.com.br";"DIÓGENES CAVALCANTI";"DIRETOR ADMINISTRATIVO E FINANCEIRO";5;"2009-03-02"
"327867";"01060301000173";"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA";"DENTALPREV";"Odontologia de Grupo";"RUA ELIZEU DI BERNARDI";"34";"SALA 411";"CAMPINAS";"São José";"SC";"88101050";;;;"financeirofloripa@dentalprev.com.br";"CLAUDIO JOAO BUCCO";"ADMINISTRADOR";5;"1998-12-21"
"414425";"03113408000168";"DENTSY ODONTOLOGIA S/S LTDA.";"DENTSY ODONTOLOGIA";"Odontologia de Grupo";"RUA CANDIDO PORTINARI";"30";"SALA 1";"VILA CERCADO GRANDE";"Embu das Artes";"SP";"06804180";"11";"32842180";;"oscar@dentsy.com.br";"OSCAR COELHO DE OLIVEIRA";"SOCIO ADMINISTRADOR";4;"2003-01-13"
"357669";"19969500000164";"DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL";"DESBAN";"Autogestão";"RUA BERNARDO GUIMARÃES";"1587";"9º ANDAR";"LOURDES";"Belo Horizonte";"MG";"30140082";"31";"32498500";"32498506";"desban@desban.org.br";"JULIANA RODRIGUES DE PAULA CHIARI";"REPRESENTANTE LEGAL";4;"1998-12-18"
"423271";"45768601000187";"DIXMED ADMINISTRADORA DE BENEFICIOS LTDA ";"DIXMED";"Administradora de Benefícios";"RUA LAURO MULLER";"116";"32º ANDAR";"BOTAFOGO";"Rio de Janeiro";"RJ";"22290160";"21";"98801173";;"contato@dixmed.com.br";"RICARDO ESCÓRCIO DE AZEVEDO";"REPRESENTANTE LEGAL";;"2022-06-14"
"349682";"01387625000110";"DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.";"DOCTOR CLIN";"Medicina de Grupo";"Rua Sete de Setembro";"769";;"CENTRO HISTÓRICO";"Porto Alegre";"RS";"90010190";"51";"32548000";"35840320";"contabilidade@doctorclin.com.br";"MARCELO SANCHES DIETRICH";"SÓCIO ADMINISTRADOR";4;"1998-12-22"
"365645";"30505523000150";"DONA SAÚDE CLINICAS LTDA ";"DONA SAÚDE.";"Medicina de Grupo";"PRAÇA VISCONDE DE MAUA";"29";"SALA 504";"CENTRO";"Santos";"SP";"11010000";"21";"25935425";"38996196";"administracao@donasaude.com";"ROGÉRIO MARQUES SEVERINO";"SOCIO";4;"1998-12-21"
"423653";"47058412000146";"DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA";"DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA";"Odontologia de Grupo";"Avenida Paraná";"130";"Sala 115";"Centro";"Ivaiporã";"PR";"86870000";"43";"43999351808";;"dr.diaplanos@gmail.com";"REGINALDO JOSÉ DA SILVA";"Sócio-Administrador";;"2023-08-07"
"416282";"07893499000152";"E.X.M BRASIL SAÚDE LTDA";"AMEX SAÚDE";"Medicina de Grupo";"AV. TANCREDO NEVES";"620";"EDIF. MUNDO PLAZA, SALA 2310 A 2315";"CAMINHO DAS ÁRVORES";"Salvador";"BA";"41820020";"71";"30323900";"33415752";"amexsaude@amexsaude.com.br";"LUCIVAL OLIVEIRA  ALVES";"REPRESENTANTE LEGAL";6;"2007-07-30"
"418927";"17312105000189";"EASY SAUDE ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"AVENIDA JOÃO CABRAL DE MELO NETO";"850";"BLOCO 2, SALAS 722 E 723";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775057";"21";"21235500";;"gabriela@easysaude.com";"AGENOR PITTA LIMA MEDEIROS";"ADMINISTRADOR";6;"2013-06-13"
"421120";"27252086000104";"EASYPLAN ADMINISTRADORA DE BENEFICIOS LTDA.";"EASYPLAN ADMINISTRADORA";"Administradora de Benefícios";"SCN Quadra 5, Bloco A, Ed. Brasi¿lia Sho";"Sala 217 e 218";"Parte 6";"Asa Norte";"Brasília";"DF";"70715900";"61";"41414700";;"relacionamentoans@easyplan.com.br";"ROSILANE DE ALMEIDA MORAES";"SÓCIA-DIRETOR";4;"2017-12-18"
"342611";"49320799000192";"ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL";;"Autogestão";"RUA QUIRINO DE ANDRADE";"185";;"CENTRO";"São Paulo";"SP";"01049902";"11";"45805675";;"celuladeregulacao@economus.com.br";"MAURÍCIO APARECIDO LOPES";"DIRETOR DE SEGURIDADE";2;"1998-12-21"
"417343";"39245402000191";"ECS ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"RUA BARãO DE MESQUITA";"663";"LOJA 20";"TIJUCA";"Rio de Janeiro";"RJ";"20540155";"21";"28413286";;"ECS_A@YAHOO.COM";"EDINOR CONCEIÇÃO SILVA";"REPRESENTANTE";4;"2010-06-23"
"422070";"34844263000107";"ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE";"ELETROS-SAÚDE";"Autogestão";"RUA URUGUAIANA";"174";"SALA 501";"CENTRO";"Rio de Janeiro";"RJ";"20050900";"21";"21386000";;"governanca@eletrossaude.com.br";"ROGÉRIO CARLOS LAMIM BRAZ";"Diretor Presidente";;"2019-12-11"
"417297";"11593821000103";"ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE";"ELOSAÚDE";"Autogestão";"RUA PRESIDENTE NEREU RAMOS";"146";"1º ANDAR -  CENTRO EMPRESARIAL ILHA DO A";"CENTRO";"Florianópolis";"SC";"88015010";"48";"21077539";"21077510";"elosaude@elosaude.com.br";"JEFERSON NUNES";"DIRETOR PRESIDENTE";6;"2010-06-09"
"400891";"00352294000110";"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA";"INFRAERO";"Autogestão";"SCS QUADRA 3 BLOCO A/B Nº 17/18 ED. OSCA";"17";;"ASA SUL";"Brasília";"DF";"70303000";"61";"3222";"0512";"beneficio_sede@infraero.gov.br";"GILVANDRO VASCONCELOS COELHO DE ARAÚJO";"REPRESENTANTE LEGAL";1;"1999-02-19"
"395480";"37135365000133";"ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.";"SMILE ";"Medicina de Grupo";"RUA DOUTOR JOSE MILTON CORREIA ";"110";"3, 4 e 5 ANDARES";"POÇO";"Maceió";"AL";"57025100";"08";"221237333";;"ans.matriz@smilesaude.com.br";"FREDERICO VALENTE COELHO ";"DIRETOR PRESIDENTE ";5;"1998-12-16"
"422576";"37442364000131";"ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS  ";"Administradora de Benefícios";"QNM 17, CONJUNTO H, LOTE 28, SALA 201";"S/N";;"CEILANDIA";"Brasília";"DF";"72215178";"61";"982080903";;"saudebrasilia2@gmail.com";"EDILAMAR LIMA DA SILVA";"Administradora ";4;"2021-03-26"
"417441";"01856107000107";"EV ADMINISTRADORA DE BENEFÍCIOS LTDA";;"Administradora de Benefícios";"RUA ELIEZER LEVY";"2745";;"TREM";"Macapá";"AP";"68901016";"91";"32421016";"32244459";"ev.corretora@uol.com.br";"VERA MARIA RESQUE VIEIRA ATHIAS";"SÓCIO-ADMINISTRADOR";3;"2010-07-16"
"401480";"02989632000155";"EVANGELICO SAUDE LTDA.";"MEDSUL SAUDE";"Medicina de Grupo";"RUA SALDANHA MARINHO";"2250";;"BIGORRILHO";"Curitiba";"PR";"80730180";"41";"30234442";"30234442";"jonis.jensen@medsulsaude.com.br";"JEFFERSON BUENO MACHADO";"ADMINISTRADOR";4;"1999-03-04"
"423700";"49754083000101";"EVO SAUDE ASSISTENCIA MEDICA LTDA";"EVO SAÚDE";"Medicina de Grupo";"QUADRA SAUS - QUADRA 4";"S/N";"BLOCO A,SALA 1101";"ASA SUL";"Brasília";"DF";"70070040";"61";"982730004";;"salgado.brunna@gmail.com";"BRUNNA CERQUEIRA SALGADO LIMA";"DIRETORA ADMINISTRATIVA E";;"2023-09-12"
"423785";"51107481000170";"EVOLUÇÃO ADMINISTRADORA DE BENEFICIOS LTDA ";"AFFIANCE";"Administradora de Benefícios";"RUA ITUIUTABA";"340";"2º ANDAR PARTE";"PRADO";"Belo Horizonte";"MG";"30411023";"31";"31913900";;"administrativo@affiancelife.com.br";"FERNANDO ALVES VIEIRA ";"SOCIO ADMINISTRADOR ";;"2023-10-02"
"421642";"31763326000102";"EXCELÊNCIA PLANO DE SAÚDE S/A";;"Medicina de Grupo";"Rua Castelo Branco";"676";;"Praia da Costa";"Vila Velha";"ES";"29101480";"27";"998660566";;"jumarcanedo@gmail.com";"PAULO ROBERTO CORSI LELLIS";"DIRETOR PRESIDENTE";5;"2019-04-16"
"414204";"01747987000175";"EXTRAMED ADMINISTRAÇÃO E SERVIÇOS MÉDICOS LTDA";"EXTRAMED";"Administradora de Benefícios";"RUA DESEMBARGADOR CLOTARIO PORTUGAL";"243";;"ALTO SAO FRANCISCO";"Curitiba";"PR";"80410220";"41";"30688728";"30688714";"extramed@extramed.com.br";"ILEANA MARIA IGLESIAS TEIXEIRA MOURA";"DIRETORA PRESIDENTE";1;"2001-08-28"
"423777";"11641931000195";"FEBRAFITE SAUDE";"FEBRAFITE SAUDE";"Autogestão";"Q SRTVN";"QUADRA 702 ";"BLOCO P SALA 1057";"ASA NORTE";"Brasília";"DF";"70719900";"61";"3328290733281486";;"febrafitesaude@febrafite.org.br";"CLEUDES CERQUEIRA DE FREITAS";"DIRETOR PRESIDENTE";;"2024-03-04"
"423581";"49390919000128";"FEDERAL ADMINISTRADORA DE BENEFICIOS LTDA";"FEDERAL ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"ST SRTVS QD. 701 CONJUNTO E BLOCO 3 SALA";"S/N";;"ASA SUL";"Brasília";"DF";"70340901";"21";"988812666";;"levi@federaladm.com.br";"LEVI PEREIRA FIGUEIREDO NETO";"ADMINISTRADOR";;"2023-06-26"
"415626";"07270625000112";"FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA";"UNIODONTO CATARINENSE";"Cooperativa odontológica";"RUA JOAO PESSOA";"10";"CASA";"VELHA";"Blumenau";"SC";"89036000";"47";"30418070";"30418070";"cpd@uniodontosc.com.br";"MARCOS ADOLF PRINZ";"Presidente";5;"2006-05-11"
"313971";"84112481000117";"FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA";"FAMA";"Cooperativa Médica";"RUA RIO AMAPA";"374";"CJ VIEIRA ALVES";"NOSSA SRA DAS GRAÇAS";"Manaus";"AM";"69053150";"92";"33038002";"32330416";"contabilidade@unimedfama.com.br";"WILSON YOSHIMITSU NIWA";"PRESIDENTE";5;"1998-12-21"
"410888";"03637776000105";"FILOSANITAS SAUDE LTDA";"SANTA FILOMENA SAUDE";"Medicina de Grupo";"Avenida Dois ";"470";;"CENTRO";"Rio Claro";"SP";"13500410";"19";"35334200";"35334200";"filosanitas@santafilomena.com.br";"LAFAYETTE PARREIRA DUARTE";"DIRETOR ADMINISTRATIVO";6;"2000-03-03"
"423921";"52174905000181";"FOX SAÚDE ASSISTÊNCIA MÉDICA INTEGRADA LTDA";"FOX SAÚDE";"Medicina de Grupo";"Rua Estado de Israel";"262";"Sala 0906";"Ilha do Leite";"Recife";"PE";"50070415";"21";"39535406";;"Joao.figueiredo@foxsaude.com.br";"JOÃO DE FIGUEIREDO PEREIRA CURADO";"SOCIO ADMINISTRADOR ";;"2024-03-25"
"419818";"09030500000140";"FR PLANO ODONTOLÓGICO LTDA";"LODONTO ESPAÇO DO SORRISO";"Odontologia de Grupo";"RUA EULÁLIA SILVA";"138";"3º ANDAR";"JARDIM FACULDADE";"Sorocaba";"SP";"18030230";"12";"34263335";;"MRMAGACHO@IG.COM.BR";"MAURICIO RICCIOPPO MAGACHO";"SóCIO ADMINISTRADOR";5;"2015-07-14"
"370592";"02618303000106";"FUNASA SAÚDE";"FUNASA SAÚDE";"Medicina de Grupo";"AV.EPITÁCIO PESSOA";"1250";"SL408 E OUTRAS";"TORRE";"João Pessoa";"PB";"58039040";"83";"32430911";"32444220";"diretoria@funasasaude.com.br";"DANIELITA PINTO DE MORAIS";"PRESIDENTE";5;"1998-12-28"
"329665";"00580481000151";"FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV";"CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE";"Autogestão";"AV. PRINCESA ISABEL";"574";"Sl 1303 a 1314 - BLOCO A - ED. PALAS CEN";"CENTRO";"Vitória";"ES";"29010930";"27";"21223900";"21223931";"faleconosco@capitalprev.com.br";"ALINE FARDIM BORELLI";"DIRETORA DE SEGURIDADE";5;"1998-12-28"
"410292";"60499365000134";"FUNDACAO LEONOR DE BARROS CAMARGO";"FUNDACAO LEONOR DE BARROS CAMARGO";"Filantropia";"AV.SAO GABRIEL ";"201";"16.ª ANDAR CONJ. 1606";"JARDIM PAULISTA";"São Paulo";"SP";"01435001";"19";"38018200";"38018200";"haoc@haoc.org.br";"RENATO SARGO";"SUPERINTENDENTE";5;"1999-12-20"
"307751";"12585261000108";"FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV";"COMPESAPREV";"Autogestão";"RUA AUGUSTO RODRIGUES";"60";;"TORREÃO";"Recife";"PE";"52030180";"81";"33662434";"33662422";"compesaprev@compesaprev.com.br";"ALEXANDRE ARAUJO DE MORAES";"DIRETOR PRESIDENTE";3;"1998-12-28"
"315567";"00660903000107";"FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG";"FUNDAFFEMG";"Autogestão";"RUA SERGIPE";"893";;"FUNCIONÁRIOS";"Belo Horizonte";"MG";"30130171";"03";"121035858";"121035890";"fundaffemg@fundaffemg.com.br";"MUNIR NACIF MITRE";"DIRETOR PRESIDENTE";3;"1998-12-21"
"346926";"00628107000189";"FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA";"FUNDAÇÃO ASSEFAZ";"Autogestão";"SCS QD. 4 BLOCO A ED. ASSEFAZ";"1";;"ASA SUL";"Brasília";"DF";"70304908";"61";"32180100";"32180105";"assefaz@assefaz.org.br";"GILDENORA BATISTA DANTAS";"DIRETORA PRESIDENTE";1;"1998-12-16"
"315044";"82956996000178";"FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS";"FUNDAÇÃO CELESC";"Autogestão";"AV. HERCILIO LUZ";"639";"7 ANDAR";"CENTRO";"Florianópolis";"SC";"88020000";"48";"32219510";"32219510";"dvrs@celos.com.br";"PAULO CÉSAR DA SILVEIRA";"Diretor de Seguridade";6;"1998-12-21"
"315478";"62465117000106";"FUNDAÇÃO CESP";"VIVEST";"Autogestão";"ALAMEDA SANTOS";"2477";"10 º ANDAR";"CERQUEIRA CESAR";"São Paulo";"SP";"01419907";"11";"30683100";"30683049";"saude@vivest.com.br";"WALTER MENDES DE OLIVEIRA FILHO";"DIRETOR PRESIDENTE";2;"1998-12-29"
